net,edgegpu_latency,edgegpu_energy,raspi4_latency,edgetpu_latency,pixel3_latency,eyeriss_latency,eyeriss_energy,eyeriss_arithmetic_intensity,fpga_latency,fpga_energy
"(4, 3, 3, 0, 0, 0)",5.828042030334473,24.238826804161075,2.973176879895618,0.7929624850075925,1.33656,0.9145600000000003,0.17677097200000003,2.2148960216998193,0.64912,4.54384
"(2, 2, 0, 4, 2, 0)",6.373348236083984,27.730438175201414,8.764811480068602,1.0751235479983734,6.59465,1.8976000000000006,0.4007401879999999,6.2913928924685605,1.8784,13.148800000000001
"(4, 2, 4, 2, 4, 4)",6.557350158691406,28.281851234436036,8.361578920012107,1.4812845270062098,5.85365,2.63488,0.5342876919999999,2.9733837772397096,1.4208,9.9456
"(4, 0, 1, 1, 1, 0)",2.4422264099121094,10.250024242401123,0.9782883801381104,0.37464670999906957,0.42355000000000004,0.7916800000000002,0.160605812,1.3842120181405895,0.38672,2.70704
"(0, 0, 0, 3, 0, 3)",4.484858512878418,18.73773886680603,2.29028792004101,0.6169943059940124,0.9476720000000001,0.5459200000000002,0.10557354000000002,5.36738606485539,0.54672,3.8270399999999998
"(3, 0, 2, 3, 1, 4)",5.656824111938477,23.962306938171384,5.442170840105973,0.8201643159991363,3.43049,1.2832000000000006,0.256815764,4.545041581225791,0.9952,6.9664
"(2, 1, 4, 1, 2, 2)",5.015835762023926,22.146586834589638,12.949082720006118,-1.0,7.2874099999999995,1.8976000000000006,0.4007401879999999,6.2913928924685605,1.8784,13.148800000000001
"(1, 0, 0, 4, 2, 2)",5.06922721862793,22.056207628250124,9.450726700015366,-1.0,5.43495,1.5289600000000005,0.32069539599999997,5.629962864478268,1.344,9.408000000000001
"(3, 4, 0, 0, 1, 2)",4.599947929382324,19.660177450180054,5.478089679963887,0.8323728719988139,3.4997399999999996,1.2217600000000004,0.24873318400000002,4.480941226575809,0.9024,6.3168
"(4, 1, 0, 1, 1, 2)",2.8334426879882812,12.110134048461914,3.1515918399963994,-1.0,2.7019499999999996,1.1603200000000002,0.24065060400000002,4.4074660485766515,0.8096,5.6672
"(2, 2, 1, 2, 1, 1)",0.5443763732910156,2.2020024299621586,0.012626000097952783,-1.0,0.00691457,1.5289600000000005,0.32954275599999994,8.16508114799193,1.8528,12.9696
"(2, 2, 1, 4, 2, 4)",7.222733497619629,30.803152683973313,8.715091859921813,1.3542218520015012,8.34317,2.2662400000000007,0.47193761999999995,5.117134524767268,1.904,13.328
"(1, 1, 1, 1, 2, 4)",0.7094764709472656,2.8684133720397953,0.24807525987853296,-1.0,0.16609000000000002,1.1603200000000002,0.24065060400000005,4.4074660485766515,0.8096,5.6672
"(1, 4, 2, 0, 3, 3)",6.069321632385254,26.409641529719035,5.460949699918274,-1.0,3.74657,1.2832000000000003,0.256815764,4.545041581225791,0.9952,6.9664
"(2, 1, 2, 3, 1, 1)",1.8973159790039062,7.963035163879395,6.767521200090414,-1.0,5.20784,1.2217600000000002,0.257580544,7.8452634460939406,1.4112,9.8784
