net,edgegpu_latency,edgegpu_energy,raspi4_latency,edgetpu_latency,pixel3_latency,eyeriss_latency,eyeriss_energy,eyeriss_arithmetic_intensity,fpga_latency,fpga_energy
"(4, 3, 3, 0, 0, 0)",5.807418537139893,24.226614330768584,10.481976820010459,0.9571811309997429,3.6058499999999998,3.645620000000001,0.6872827644999999,6.289297634665844,2.57296,18.01072
"(2, 2, 0, 4, 2, 0)",6.547689437866211,29.997147878011067,54.77739761998237,1.4389883610001561,17.2381,7.577780000000003,1.5644240284999997,20.86006697108513,5.31536,37.20752
"(4, 2, 4, 2, 4, 4)",6.509256362915039,29.40231099128723,50.40940375998616,2.0300670009992245,15.723,10.526900000000001,2.0846801885,9.855405336239704,5.28656,37.005919999999996
"(4, 0, 1, 1, 1, 0)",2.4120140075683594,10.342716064453125,2.923991740026395,0.3899967840006866,1.06264,3.1541000000000006,0.6247873085,4.5797302195526095,1.54256,10.79792
"(0, 0, 0, 3, 0, 3)",4.385161399841309,18.803572082519533,7.582404959975975,0.6986653650001244,2.35423,2.1710600000000007,0.4094599645,12.684972307253295,2.16336,15.143519999999999
"(3, 0, 2, 3, 1, 4)",5.699858665466309,25.096477704048155,26.265025999964564,1.0700139119999221,8.39806,5.120180000000003,1.0004950045,13.63768779714061,3.83056,26.813920000000003
"(2, 1, 4, 1, 2, 2)",5.080537796020508,23.988605960210165,54.293688659963664,-1.0,17.065900000000003,7.577780000000003,1.5644240285,20.86006697108513,5.31536,37.20752
"(1, 0, 0, 4, 2, 2)",4.977526664733887,22.866757497787475,38.97722492001776,-1.0,12.2209,6.103220000000002,1.2512117884999998,18.66852444337987,4.05776,28.40432
"(3, 4, 0, 0, 1, 2)",4.724273681640625,20.860817820231123,24.848210720010684,0.9736799490001431,7.88152,4.874420000000002,0.9692472765,14.069085832664296,3.31536,23.207520000000002
"(4, 1, 0, 1, 1, 2)",2.7345705032348633,12.248141283988954,20.097734900045907,-1.0,6.00014,4.628660000000002,0.9379995485,14.615637999956666,2.80016,19.60112
"(2, 2, 1, 2, 1, 1)",0.6020975112915039,2.4204319953918456,0.011627179992501624,-1.0,0.00340076,6.103220000000002,1.2866012285,27.078050860023726,4.90576,34.34032
"(2, 2, 1, 4, 2, 4)",7.122635841369629,32.721389055252075,55.80781851997017,1.6121486419997382,18.651400000000002,9.052340000000001,1.8422468285,16.964481165558244,5.72496,40.07472
"(1, 1, 1, 1, 2, 4)",0.6987190246582031,2.861953125,0.5386169200210134,-1.0,0.30817500000000003,4.628660000000002,0.9379995485,14.615637999956666,2.80016,19.60112
"(1, 4, 2, 0, 3, 3)",6.084051132202148,26.865141782760624,24.986975159990834,-1.0,8.47802,5.120180000000002,1.0004950045,13.63768779714061,3.83056,26.813920000000003
"(2, 1, 2, 3, 1, 1)",1.7745113372802734,8.130810947418214,38.997724639993976,-1.0,11.3832,4.8744200000000015,1.0046367165,24.63910533031311,4.16336,29.14352
"(0, 4, 0, 0, 1, 4)",4.05522346496582,17.34013553619385,8.29663470001833,1.0722470059999978,3.56996,4.628660000000002,0.9026101085,2.6348779358235475,1.95216,13.66512
"(0, 0, 0, 2, 1, 2)",3.455324172973633,16.364415283203126,34.997110620024614,0.8035137049992045,10.9348,4.628660000000002,0.9733889885000001,26.596398064089787,3.64816,25.537119999999998
"(4, 0, 3, 3, 0, 3)",5.59267520904541,24.34491518497467,17.690524060017196,1.0393211679993328,4.13621,3.8913800000000016,0.7185304925,6.793315189634498,3.08816,21.61712
"(4, 4, 2, 2, 0, 3)",6.07630729675293,27.76467347462972,44.75796464001178,1.5265537340001174,13.9685,7.823540000000004,1.5602823165,14.084950458399808,4.98256,34.87792
"(2, 2, 4, 3, 4, 1)",4.1350507736206055,18.632538785934447,26.23767017998034,1.077376657000059,8.354379999999999,7.823540000000004,1.5602823165,14.084950458399808,4.98256,34.87792
"(1, 4, 0, 4, 2, 2)",5.454921722412109,25.207193279266356,42.24455866002245,-1.0,13.3139,7.577780000000003,1.5290345885,14.38163596609415,4.46736,31.271520000000002
"(3, 1, 3, 1, 2, 1)",4.257831573486328,19.10914810180664,25.175985239984584,0.6962170249998962,7.09313,3.645620000000001,0.7226722045,20.513714983022073,3.42096,23.94672
