net,epe_nas,fisher,flops,grad_norm,grasp,jacov,l2_norm,nwot,params,plain,snip,synflow,zen
"(4, 0, 3, 1, 4, 3)",21.702864035718633,0.07068683207035065,4.820032,18.25344467163086,5.011692047119141,-78.99136879395692,134.6051025390625,660.6878962806043,0.136456,0.07291723787784576,35.541744232177734,46.6285384821636,64.73770904541016
"(2, 4, 0, 0, 3, 2)",18.293350920702732,0.037852924317121506,21.316672,17.83401870727539,6.955972671508789,-69.78331607411718,185.02597045898438,693.0293045800385,0.594536,0.06518556922674179,33.967124938964844,85.30165967279419,119.07527160644531
"(0, 0, 2, 1, 2, 3)",19.966564922646533,0.15772879123687744,20.994112,46.23637771606445,12.789398193359375,-69.80648778556183,185.1783905029297,696.5434448241415,0.594536,0.07821428775787354,89.4102783203125,61.25445196909755,90.43705749511719
"(4, 1, 3, 3, 3, 3)",36.667325024110674,0.8195088505744934,6.678592,91.45530700683594,48.20729064941406,-88.17633319860704,236.0509796142578,713.4948939406653,0.192456,0.2774288058280945,138.3904266357422,57.774138911522485,66.20977020263672
"(3, 1, 2, 3, 2, 3)",17.840254257361448,32.89803695678711,23.175232,588.8015747070312,13402.0107421875,-69.83014574805989,287.1534118652344,729.6826819363306,0.650536,0.19122245907783508,1029.9327392578125,78.25047712519387,99.8773422241211
"(3, 0, 1, 0, 3, 3)",17.622277778796917,3.048352003097534,5.265472,156.89837646484375,360.683837890625,-69.71656731067526,184.84178161621094,699.4540201788235,0.164456,-0.12189294397830963,317.4169616699219,62.545842505653944,52.609806060791016
"(2, 0, 4, 2, 1, 0)",11.658749717490984,0.015281754545867443,20.226112,3.9093635082244873,-0.023799777030944824,-106.51540776899355,134.27391052246094,654.3583447359825,0.566536,0.01605077087879181,9.240333557128906,79.49356350962064,144.57504272460938
"(3, 4, 1, 4, 0, 0)",15.467350528604571,0.032476671040058136,3.729472,14.037421226501465,2.530424118041992,-104.6577029295888,83.32899475097656,623.7729166157563,0.108456,0.2029612958431244,28.90876007080078,46.56571497898458,47.52354049682617
"(4, 2, 4, 0, 2, 4)",18.516676946301494,0.014181933365762234,20.871232,3.8573431968688965,-0.06473350524902344,-237.66169673613484,134.23316955566406,645.1974566518923,0.566536,0.086067795753479,10.51933479309082,60.35910573304893,213.76907348632812
"(4, 0, 0, 4, 1, 3)",20.323428328425237,0.02510209195315838,3.729472,8.213746070861816,2.294647216796875,-72.86486786023973,83.16767883300781,624.3928373397213,0.108456,0.13271906971931458,17.667936325073242,46.51705572268952,51.063873291015625
"(3, 1, 1, 2, 2, 3)",39.187498261777584,206.21295166015625,22.084672,1006.421630859375,10794.20703125,-71.03817930096699,235.9407958984375,716.9447944463875,0.622536,0.2842288017272949,2046.95703125,84.78244046495448,79.74467468261719
"(0, 0, 1, 0, 3, 3)",24.91388787481545,0.12515026330947876,4.174912,29.10972785949707,10.170730590820312,-70.41985664599702,134.20294189453125,674.1483577382087,0.136456,0.0708683505654335,49.60701370239258,50.10842189311159,50.04127883911133
"(0, 2, 0, 0, 2, 3)",19.93565851511685,0.014277936890721321,20.994112,9.944552421569824,1.624075174331665,-69.63961668568425,185.20729064941406,693.8071890686114,0.594536,0.09491510689258575,21.261783599853516,70.77305789572387,148.04837036132812
"(2, 2, 3, 2, 1, 0)",35.390048382359446,1.6099216938018799,29.948992,130.0622100830078,115.20297241210938,-69.86953922553127,236.2530975341797,713.6379237598954,0.837576,0.1815897822380066,245.5226287841797,81.43379967143245,113.22335815429688
"(3, 3, 2, 0, 4, 4)",28.756783056328114,0.25752395391464233,13.774912,53.95272445678711,6.3809814453125,-78.03547364889256,185.3739776611328,693.0490645499133,0.379496,0.057922203093767166,99.1806640625,59.65880108544706,82.1642837524414
"(3, 3, 0, 0, 2, 3)",23.298212633280233,0.026535997167229652,14.220352,13.815685272216797,7.575693607330322,-69.73973256377487,236.57203674316406,711.7001373731425,0.407496,-0.0018850527703762054,33.18082809448242,73.42485880526847,117.66020202636719
"(2, 0, 3, 4, 4, 2)",33.001701742809665,0.23929768800735474,21.639232,51.17158126831055,12.923797607421875,-69.82511863268884,185.0724639892578,696.9832201246455,0.594536,0.06844177842140198,100.50958251953125,82.88087123022247,85.8009033203125
"(0, 0, 2, 4, 2, 4)",18.83293119391545,0.02024894393980503,20.548672,4.763767719268799,0.05638527870178223,-225.771486069791,134.32449340820312,643.9706115043276,0.566536,0.17769677937030792,11.238296508789062,60.479875778928694,211.71873474121094
"(0, 0, 1, 3, 2, 4)",21.505861784099885,0.09265436232089996,12.361792,20.40880584716797,8.636540412902832,-80.36338199642724,134.00144958496094,665.5644977255184,0.351496,0.03374622017145157,49.0621337890625,54.37697628278714,84.41898345947266
"(4, 2, 1, 0, 0, 3)",16.46988705855834,0.10774986445903778,12.361792,21.49163055419922,20.125598907470703,-80.84423539768954,134.4048614501953,660.9615987575984,0.351496,0.199208602309227,48.39405059814453,66.91869410990545,77.47129821777344
"(2, 0, 0, 0, 2, 2)",29.932309438868728,0.02635944075882435,28.858432,17.616321563720703,6.2944512367248535,-69.7944328443133,185.35379028320312,693.5638917823215,0.809576,0.12160509824752808,36.872711181640625,90.5054381260959,137.4776153564453
"(0, 4, 3, 0, 0, 3)",19.905536424970755,0.00930666085332632,4.497472,7.170341491699219,1.424581527709961,-71.33651679816289,134.8660888671875,665.4547078501836,0.136456,0.027748284861445427,15.72079849243164,51.96151989928147,87.55233764648438
"(0, 3, 0, 3, 1, 2)",33.75083190256765,0.021197514608502388,13.129792,15.15449047088623,4.491237640380859,-69.83465720860319,185.48281860351562,693.2709180834776,0.379496,0.07686714082956314,31.117473602294922,75.24367259353289,103.2391357421875
"(1, 3, 4, 1, 1, 3)",13.512125318099804,0.10975088179111481,4.497472,22.15066909790039,85.27172088623047,-70.0541956963491,134.3433380126953,668.4596905702778,0.136456,0.09567093849182129,49.29926300048828,51.80707845500498,43.80743408203125
"(3, 4, 0, 1, 4, 3)",13.21989467913595,0.01917402818799019,4.820032,9.939186096191406,4.7712483406066895,-94.17933972461518,134.06845092773438,662.5232736883959,0.136456,0.1484156847000122,21.882164001464844,46.52535360178736,84.44356536865234
"(2, 2, 2, 4, 4, 2)",34.77748804321699,0.8623460531234741,38.458432,89.21862030029297,64.79219055175781,-69.31464001195538,236.22891235351562,710.5378793114429,1.052616,0.06919138133525848,171.6109161376953,91.12692429411267,124.64469146728516
"(2, 4, 2, 2, 2, 2)",15.754569543180146,5.329495429992676,47.090752,261.32513427734375,392.33355712890625,-70.57376917006553,287.4604797363281,725.3218695631833,1.295656,0.14141878485679626,414.4148864746094,111.94535087770431,148.00131225585938
"(2, 1, 0, 3, 3, 4)",25.92607840958708,0.039740435779094696,13.452352,13.622023582458496,4.429193496704102,-69.75235470376714,185.5376739501953,691.9752291488323,0.379496,0.1767556369304657,31.885486602783203,75.18719965953288,78.31132507324219
"(0, 0, 3, 2, 1, 3)",9.778493684279939,0.2569913864135742,13.129792,67.96871185302734,33.64555358886719,-70.2974413428201,185.459228515625,698.1543706730732,0.379496,0.2141924500465393,129.81988525390625,68.0349153974564,70.96221923828125
"(0, 3, 3, 3, 4, 3)",17.280421269434108,0.08406790345907211,6.678592,26.317716598510742,13.493148803710938,-69.68849370550336,235.24093627929688,708.2298021519409,0.192456,0.2408706545829773,55.9539794921875,63.27184203841824,110.16728973388672
"(2, 3, 4, 4, 2, 4)",25.525466557172525,0.12106777727603912,21.961792,32.913265228271484,12.645622253417969,-73.78386676910743,185.0291748046875,689.096030852098,0.594536,-0.10271868109703064,80.56065368652344,81.59222219702525,113.99613189697266
