,net
0,"(4, 0, 3, 1, 4, 3)"
1,"(2, 4, 0, 0, 3, 2)"
3,"(0, 0, 2, 1, 2, 3)"
7,"(4, 1, 3, 3, 3, 3)"
8,"(3, 1, 2, 3, 2, 3)"
9,"(3, 0, 1, 0, 3, 3)"
10,"(2, 0, 4, 2, 1, 0)"
12,"(4, 2, 4, 0, 2, 4)"
13,"(4, 0, 0, 4, 1, 3)"
15,"(3, 1, 1, 2, 2, 3)"
20,"(2, 2, 3, 2, 1, 0)"
21,"(3, 3, 2, 0, 4, 4)"
22,"(3, 3, 0, 0, 2, 3)"
23,"(2, 0, 3, 4, 4, 2)"
24,"(0, 0, 2, 4, 2, 4)"
27,"(0, 0, 1, 3, 2, 4)"
31,"(2, 0, 0, 0, 2, 2)"
34,"(1, 3, 4, 1, 1, 3)"
35,"(3, 4, 0, 1, 4, 3)"
36,"(2, 2, 2, 4, 4, 2)"
37,"(2, 4, 2, 2, 2, 2)"
42,"(2, 1, 0, 3, 3, 4)"
44,"(0, 3, 3, 3, 4, 3)"
46,"(2, 3, 4, 4, 2, 4)"
48,"(2, 3, 1, 0, 3, 3)"
53,"(3, 2, 3, 2, 3, 4)"
57,"(3, 2, 3, 1, 4, 0)"
59,"(4, 0, 2, 0, 3, 4)"
60,"(4, 2, 4, 4, 4, 4)"
62,"(3, 1, 4, 4, 2, 3)"
63,"(3, 3, 2, 2, 1, 3)"
66,"(4, 4, 0, 0, 2, 4)"
68,"(2, 4, 3, 0, 4, 4)"
69,"(3, 2, 4, 3, 2, 2)"
71,"(3, 2, 0, 4, 1, 0)"
73,"(2, 3, 1, 3, 4, 0)"
74,"(0, 2, 1, 3, 0, 4)"
76,"(3, 0, 0, 1, 3, 3)"
77,"(2, 0, 2, 2, 1, 2)"
79,"(3, 1, 0, 3, 2, 3)"
81,"(2, 3, 2, 3, 4, 2)"
89,"(3, 4, 3, 3, 2, 2)"
90,"(2, 4, 3, 3, 1, 0)"
91,"(4, 0, 0, 4, 4, 4)"
92,"(4, 3, 4, 4, 0, 3)"
95,"(2, 3, 3, 2, 2, 3)"
96,"(2, 3, 1, 2, 0, 2)"
97,"(3, 1, 2, 2, 1, 2)"
98,"(3, 0, 0, 4, 4, 0)"
99,"(4, 0, 3, 0, 4, 2)"
102,"(2, 4, 4, 4, 1, 4)"
103,"(3, 2, 3, 4, 0, 3)"
104,"(4, 0, 4, 2, 1, 4)"
105,"(4, 3, 4, 3, 4, 4)"
109,"(4, 0, 0, 3, 1, 2)"
112,"(2, 4, 1, 3, 2, 2)"
115,"(3, 3, 3, 3, 0, 3)"
120,"(3, 2, 4, 2, 4, 0)"
123,"(2, 1, 1, 2, 3, 2)"
124,"(2, 4, 0, 2, 3, 2)"
127,"(3, 0, 4, 4, 2, 2)"
128,"(0, 0, 1, 2, 2, 3)"
129,"(3, 0, 1, 2, 3, 3)"
130,"(2, 0, 4, 4, 1, 0)"
132,"(0, 1, 4, 2, 4, 2)"
135,"(3, 1, 1, 4, 2, 3)"
137,"(0, 0, 0, 0, 0, 3)"
143,"(2, 0, 1, 4, 1, 2)"
146,"(3, 4, 0, 0, 4, 2)"
149,"(2, 3, 1, 1, 2, 0)"
153,"(4, 1, 0, 2, 1, 2)"
155,"(4, 0, 4, 1, 3, 2)"
158,"(3, 3, 0, 2, 2, 3)"
162,"(3, 3, 2, 2, 4, 4)"
171,"(3, 3, 2, 1, 0, 2)"
177,"(4, 3, 4, 1, 3, 0)"
178,"(3, 2, 0, 4, 0, 3)"
180,"(4, 3, 1, 3, 4, 4)"
181,"(2, 1, 2, 3, 2, 2)"
182,"(4, 0, 4, 4, 3, 3)"
188,"(4, 3, 2, 4, 1, 3)"
189,"(3, 0, 0, 0, 3, 2)"
191,"(4, 4, 0, 1, 3, 3)"
192,"(4, 3, 0, 0, 3, 0)"
194,"(3, 1, 0, 2, 2, 2)"
196,"(2, 2, 1, 4, 3, 4)"
197,"(3, 3, 4, 0, 4, 3)"
198,"(3, 4, 1, 1, 3, 2)"
202,"(3, 0, 0, 4, 3, 3)"
205,"(2, 0, 2, 4, 4, 3)"
206,"(3, 2, 3, 3, 0, 2)"
207,"(2, 2, 4, 0, 0, 3)"
210,"(4, 4, 3, 0, 2, 2)"
214,"(4, 4, 1, 2, 4, 4)"
218,"(4, 4, 4, 2, 0, 4)"
219,"(2, 3, 4, 1, 3, 4)"
222,"(3, 4, 1, 4, 3, 3)"
223,"(3, 3, 3, 2, 0, 2)"
234,"(4, 1, 3, 2, 3, 4)"
236,"(4, 0, 2, 1, 4, 2)"
237,"(2, 2, 3, 2, 4, 3)"
238,"(3, 0, 2, 2, 3, 2)"
239,"(3, 4, 2, 3, 1, 4)"
243,"(4, 3, 1, 1, 3, 0)"
248,"(4, 3, 1, 1, 2, 4)"
250,"(3, 3, 1, 2, 1, 4)"
251,"(2, 4, 2, 4, 4, 3)"
253,"(4, 0, 2, 1, 0, 4)"
257,"(2, 4, 0, 4, 2, 2)"
263,"(4, 2, 4, 4, 2, 0)"
265,"(2, 2, 1, 2, 2, 0)"
266,"(4, 3, 2, 1, 4, 0)"
267,"(2, 4, 3, 0, 2, 0)"
277,"(3, 4, 0, 2, 3, 2)"
285,"(3, 3, 2, 4, 4, 0)"
290,"(2, 3, 3, 1, 4, 3)"
292,"(2, 3, 2, 2, 2, 4)"
295,"(2, 3, 0, 2, 0, 3)"
298,"(4, 0, 4, 3, 3, 2)"
309,"(4, 1, 1, 3, 2, 4)"
313,"(2, 2, 1, 3, 3, 3)"
320,"(2, 0, 4, 1, 2, 0)"
322,"(4, 3, 0, 3, 2, 4)"
332,"(2, 4, 1, 4, 1, 4)"
334,"(2, 1, 0, 2, 1, 2)"
337,"(2, 3, 4, 0, 3, 3)"
338,"(3, 4, 1, 3, 3, 2)"
339,"(0, 0, 3, 0, 3, 2)"
340,"(0, 2, 2, 1, 2, 0)"
348,"(1, 2, 4, 1, 1, 2)"
350,"(4, 1, 1, 2, 4, 2)"
351,"(3, 3, 2, 3, 1, 4)"
353,"(2, 2, 3, 1, 4, 2)"
355,"(3, 0, 0, 2, 4, 0)"
356,"(2, 1, 2, 1, 0, 1)"
357,"(4, 4, 1, 4, 4, 4)"
360,"(0, 3, 0, 4, 3, 2)"
371,"(0, 3, 3, 3, 3, 4)"
373,"(4, 3, 1, 3, 2, 0)"
375,"(4, 1, 3, 4, 3, 4)"
376,"(3, 0, 2, 4, 3, 2)"
380,"(3, 3, 3, 0, 4, 4)"
383,"(4, 3, 2, 4, 2, 4)"
384,"(0, 3, 4, 3, 4, 4)"
387,"(3, 1, 4, 4, 1, 4)"
388,"(2, 3, 3, 0, 4, 2)"
389,"(4, 0, 2, 3, 0, 4)"
394,"(2, 1, 3, 2, 1, 4)"
397,"(3, 2, 0, 3, 4, 2)"
400,"(0, 2, 3, 2, 1, 4)"
402,"(2, 1, 1, 3, 3, 3)"
404,"(2, 3, 3, 0, 0, 4)"
405,"(3, 2, 3, 0, 3, 4)"
406,"(0, 2, 4, 2, 2, 0)"
410,"(4, 4, 1, 3, 1, 4)"
411,"(3, 4, 0, 4, 3, 2)"
413,"(4, 1, 3, 3, 4, 2)"
415,"(3, 1, 2, 3, 3, 2)"
416,"(4, 1, 2, 2, 0, 0)"
419,"(1, 0, 0, 1, 1, 2)"
420,"(2, 0, 4, 3, 2, 3)"
422,"(2, 2, 2, 2, 4, 4)"
424,"(2, 1, 0, 1, 0, 1)"
433,"(4, 3, 1, 2, 0, 0)"
437,"(3, 1, 3, 1, 2, 1)"
450,"(2, 1, 4, 3, 1, 4)"
451,"(2, 1, 2, 4, 2, 3)"
452,"(0, 3, 1, 3, 4, 4)"
453,"(4, 4, 2, 4, 4, 3)"
457,"(0, 4, 0, 2, 1, 2)"
458,"(4, 3, 3, 3, 2, 2)"
460,"(3, 4, 4, 2, 1, 4)"
461,"(3, 4, 0, 3, 0, 2)"
463,"(3, 2, 0, 2, 2, 2)"
464,"(2, 3, 2, 1, 4, 4)"
468,"(4, 2, 3, 3, 4, 0)"
469,"(2, 2, 4, 4, 3, 4)"
470,"(3, 2, 3, 2, 4, 3)"
472,"(3, 4, 3, 1, 2, 4)"
479,"(2, 2, 4, 3, 4, 0)"
481,"(3, 4, 3, 0, 3, 0)"
482,"(4, 1, 1, 4, 4, 2)"
483,"(0, 3, 4, 2, 3, 3)"
487,"(4, 2, 2, 1, 3, 3)"
489,"(4, 3, 2, 3, 2, 3)"
490,"(2, 2, 1, 4, 0, 3)"
492,"(4, 2, 3, 2, 0, 2)"
493,"(2, 4, 2, 3, 4, 4)"
495,"(3, 1, 4, 2, 4, 4)"
497,"(3, 2, 1, 3, 3, 3)"
498,"(2, 2, 1, 3, 4, 4)"
499,"(2, 4, 1, 1, 2, 4)"
500,"(2, 4, 3, 4, 1, 3)"
502,"(3, 2, 2, 4, 0, 2)"
503,"(2, 1, 4, 2, 3, 2)"
505,"(3, 2, 4, 0, 4, 2)"
508,"(4, 2, 1, 4, 3, 2)"
510,"(3, 0, 3, 1, 2, 0)"
512,"(4, 3, 0, 3, 0, 0)"
515,"(3, 3, 3, 2, 4, 4)"
516,"(4, 4, 1, 2, 1, 3)"
520,"(2, 0, 4, 2, 1, 2)"
522,"(3, 4, 1, 4, 0, 2)"
524,"(3, 0, 4, 1, 3, 0)"
526,"(3, 1, 1, 1, 3, 1)"
527,"(4, 4, 2, 2, 2, 3)"
528,"(2, 2, 2, 1, 4, 3)"
535,"(2, 2, 3, 2, 1, 2)"
537,"(2, 0, 3, 4, 4, 4)"
543,"(3, 1, 3, 0, 2, 0)"
546,"(3, 4, 2, 2, 2, 4)"
548,"(2, 0, 0, 0, 2, 4)"
554,"(2, 2, 2, 4, 4, 4)"
556,"(2, 4, 2, 2, 2, 4)"
559,"(0, 0, 2, 0, 4, 3)"
560,"(2, 4, 2, 1, 3, 0)"
568,"(4, 3, 1, 4, 0, 0)"
571,"(2, 3, 2, 0, 4, 3)"
572,"(4, 2, 1, 3, 1, 2)"
576,"(3, 2, 3, 1, 4, 2)"
578,"(3, 1, 2, 1, 0, 1)"
587,"(3, 2, 4, 3, 2, 4)"
588,"(3, 2, 2, 4, 3, 3)"
589,"(3, 2, 0, 4, 1, 2)"
593,"(2, 3, 2, 3, 4, 4)"
596,"(2, 1, 4, 1, 2, 1)"
597,"(4, 2, 2, 4, 2, 3)"
600,"(2, 4, 1, 0, 2, 3)"
601,"(3, 4, 3, 3, 2, 4)"
602,"(2, 0, 3, 2, 3, 0)"
603,"(2, 4, 3, 3, 1, 2)"
607,"(3, 1, 2, 2, 1, 4)"
608,"(4, 0, 3, 0, 4, 4)"
609,"(4, 0, 1, 0, 2, 3)"
613,"(0, 1, 2, 4, 1, 4)"
617,"(4, 0, 0, 3, 1, 4)"
620,"(2, 4, 1, 3, 2, 4)"
627,"(3, 2, 4, 2, 4, 2)"
628,"(3, 3, 3, 4, 4, 0)"
630,"(0, 2, 1, 2, 2, 4)"
631,"(2, 4, 0, 2, 3, 4)"
633,"(4, 4, 1, 4, 1, 3)"
637,"(3, 0, 4, 4, 2, 4)"
638,"(2, 0, 4, 4, 1, 2)"
641,"(2, 4, 3, 2, 3, 0)"
646,"(2, 0, 1, 4, 1, 4)"
647,"(4, 1, 0, 4, 4, 3)"
648,"(3, 4, 0, 0, 4, 4)"
651,"(2, 2, 3, 4, 0, 2)"
652,"(2, 2, 2, 3, 4, 3)"
653,"(2, 2, 4, 4, 1, 0)"
655,"(2, 0, 1, 3, 2, 0)"
657,"(2, 3, 1, 1, 2, 2)"
660,"(4, 1, 0, 2, 1, 4)"
661,"(4, 0, 4, 1, 3, 4)"
662,"(4, 1, 3, 4, 0, 3)"
667,"(0, 3, 3, 2, 4, 4)"
670,"(2, 3, 0, 4, 1, 3)"
671,"(3, 2, 0, 4, 4, 3)"
674,"(3, 1, 3, 2, 2, 0)"
676,"(2, 4, 2, 4, 1, 4)"
678,"(2, 2, 0, 3, 2, 0)"
684,"(4, 0, 4, 0, 0, 2)"
685,"(4, 2, 0, 4, 3, 3)"
686,"(4, 3, 4, 1, 3, 2)"
687,"(3, 1, 4, 3, 2, 4)"
