net,val_accs,aa_apgd-ce@Linf_eps-0.1,aa_apgd-ce@Linf_eps-0.5,aa_apgd-ce@Linf_eps-1.0,aa_apgd-ce@Linf_eps-2.0,aa_apgd-ce@Linf_eps-3.0,aa_apgd-ce@Linf_eps-4.0,aa_apgd-ce@Linf_eps-8.0,aa_square@Linf_eps-0.1,aa_square@Linf_eps-0.5,aa_square@Linf_eps-1.0,aa_square@Linf_eps-2.0,aa_square@Linf_eps-3.0,aa_square@Linf_eps-4.0,aa_square@Linf_eps-8.0,fgsm@Linf_eps-0.1,fgsm@Linf_eps-0.5,fgsm@Linf_eps-1.0,fgsm@Linf_eps-2.0,fgsm@Linf_eps-3.0,fgsm@Linf_eps-4.0,fgsm@Linf_eps-5.0,fgsm@Linf_eps-6.0,fgsm@Linf_eps-7.0,fgsm@Linf_eps-8.0,fgsm@Linf_eps-255.0,pgd@Linf_eps-0.1,pgd@Linf_eps-0.5,pgd@Linf_eps-1.0,pgd@Linf_eps-2.0,pgd@Linf_eps-3.0,pgd@Linf_eps-4.0,pgd@Linf_eps-8.0
"(4, 0, 3, 1, 4, 3)",84.99,84.6,61.0,29.099999999999998,2.1999999999999997,0.2,0.0,0.0,86.9,78.60000000000001,65.3,38.5,18.8,7.6,0.3,84.7,66.60000000000001,46.7,25.3,17.0,13.200000000000001,11.600000000000001,10.8,10.4,10.4,9.9,85.0,66.2,40.400000000000006,9.9,1.7000000000000002,0.5,0.0
"(2, 4, 0, 0, 3, 2)",90.52,89.0,52.7,14.399999999999999,0.4,0.0,0.0,0.0,91.9,82.19999999999999,65.2,33.300000000000004,14.899999999999999,6.4,0.4,89.4,71.1,59.0,49.6,45.4,43.0,41.199999999999996,39.300000000000004,37.6,35.5,8.799999999999999,89.8,64.4,35.6,9.2,2.0,0.5,0.0
"(2, 0, 3, 1, 4, 1)",88.4,86.5,52.6,15.7,1.0,0.1,0.0,0.0,89.7,79.5,63.1,31.2,13.600000000000001,6.4,0.6,86.8,66.8,50.2,36.8,31.900000000000002,28.999999999999996,27.0,25.5,24.4,23.400000000000002,10.0,87.2,62.4,32.1,8.0,2.4,0.8,0.0
"(0, 0, 2, 1, 2, 3)",88.32,87.5,52.900000000000006,14.6,0.4,0.0,0.0,0.0,90.8,80.80000000000001,64.1,32.0,14.099999999999998,6.2,0.4,87.9,67.10000000000001,50.7,36.3,31.0,28.599999999999998,27.3,25.900000000000002,24.5,23.599999999999998,11.700000000000001,88.4,62.9,31.900000000000002,6.800000000000001,1.5,0.4,0.0
"(4, 4, 1, 2, 1, 1)",10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
"(2, 1, 0, 1, 3, 0)",90.68,88.1,49.6,12.2,0.4,0.0,0.0,0.0,91.8,81.0,64.7,32.6,14.6,6.1,0.2,88.6,68.8,55.50000000000001,43.9,39.0,35.9,33.300000000000004,31.1,29.5,27.800000000000004,10.5,89.2,61.6,30.9,5.800000000000001,1.0999999999999999,0.2,0.0
"(0, 4, 1, 1, 1, 0)",70.87,72.8,60.4,43.7,16.6,4.3999999999999995,1.0,0.0,74.2,65.0,52.300000000000004,28.4,12.7,5.5,0.8,72.8,61.3,47.599999999999994,26.6,14.2,8.1,5.0,3.4000000000000004,2.6,2.3,9.9,73.1,62.4,48.5,24.2,9.9,3.4000000000000004,0.0
"(4, 1, 3, 3, 3, 3)",87.35,85.39999999999999,52.0,15.4,0.5,0.0,0.0,0.0,88.6,77.7,61.6,30.7,11.600000000000001,4.0,0.1,85.6,63.3,44.1,28.599999999999998,22.7,20.5,19.1,18.099999999999998,17.5,16.6,10.100000000000001,86.1,60.699999999999996,30.099999999999998,5.3,1.0,0.2,0.0
"(3, 1, 2, 3, 2, 3)",88.94,87.4,52.300000000000004,14.499999999999998,0.8,0.0,0.0,0.0,90.8,80.80000000000001,64.7,33.1,15.299999999999999,7.5,0.6,87.9,68.2,53.2,41.699999999999996,37.5,35.4,34.2,33.0,31.6,30.2,9.8,88.2,62.9,33.5,8.1,2.1999999999999997,0.8,0.0
"(3, 0, 1, 0, 3, 3)",85.67,82.8,44.2,9.3,0.1,0.0,0.0,0.0,86.8,74.9,56.49999999999999,24.5,8.5,2.6,0.2,83.3,57.599999999999994,35.4,17.2,11.4,9.1,7.8,6.9,6.6000000000000005,6.2,9.1,83.8,53.900000000000006,21.4,1.5,0.1,0.0,0.0
