net,val_accs
"(4, 3, 3, 0, 0, 0)",0.8586333333333335
"(2, 2, 0, 4, 2, 0)",0.9366000000000001
"(4, 2, 4, 2, 4, 4)",0.8574
"(0, 0, 0, 3, 0, 3)",0.8821666666666669
"(3, 0, 2, 3, 1, 4)",0.9108666666666666
"(3, 4, 0, 0, 1, 2)",0.9209666666666665
"(2, 2, 1, 4, 2, 4)",0.9158333333333333
"(0, 4, 0, 0, 1, 4)",0.5878333333333333
"(0, 0, 0, 2, 1, 2)",0.9309666666666668
"(4, 0, 3, 3, 0, 3)",0.8943333333333332
"(4, 4, 2, 2, 0, 3)",0.9142666666666668
"(3, 1, 3, 1, 2, 1)",0.9222333333333335
"(4, 4, 2, 1, 4, 3)",0.8993333333333332
"(0, 4, 2, 2, 2, 4)",0.9019333333333333
"(0, 0, 1, 3, 0, 4)",0.8709999999999998
"(0, 1, 1, 0, 1, 0)",0.8654000000000001
"(3, 3, 3, 3, 4, 0)",0.9004666666666666
"(3, 4, 0, 0, 4, 0)",0.8633666666666666
"(0, 3, 4, 1, 2, 4)",0.9092
"(0, 3, 1, 0, 0, 2)",0.9237666666666666
"(3, 1, 3, 0, 2, 4)",0.9191000000000001
"(3, 1, 2, 4, 1, 0)",0.9162
"(4, 2, 4, 0, 2, 3)",0.9107999999999999
"(3, 0, 1, 0, 4, 0)",0.8968
"(2, 4, 1, 0, 2, 3)",0.9223333333333333
"(0, 3, 0, 1, 3, 0)",0.8939
"(4, 0, 1, 3, 0, 4)",0.7964333333333333
"(0, 0, 1, 1, 3, 0)",0.8959333333333332
"(0, 4, 4, 4, 2, 2)",0.9105333333333333
"(0, 1, 0, 4, 0, 3)",0.8654999999999999
"(2, 4, 3, 1, 0, 0)",0.9141666666666667
"(3, 2, 2, 3, 0, 3)",0.9312666666666667
"(2, 2, 0, 4, 4, 3)",0.9328000000000002
"(4, 4, 4, 0, 0, 0)",0.5205333333333333
"(4, 3, 2, 0, 0, 2)",0.9129
"(2, 4, 0, 4, 3, 3)",0.9339
"(0, 1, 4, 4, 0, 0)",0.6234
"(0, 3, 3, 4, 3, 4)",0.8887
"(3, 0, 1, 2, 4, 4)",0.8878333333333335
"(3, 2, 3, 4, 1, 0)",0.9228333333333335
"(2, 3, 3, 2, 4, 4)",0.9242333333333334
"(4, 3, 2, 2, 2, 3)",0.9271999999999998
"(2, 2, 3, 4, 2, 3)",0.9349333333333334
"(2, 3, 2, 0, 2, 3)",0.9336666666666666
"(1, 2, 0, 1, 1, 2)",0.9370666666666666
"(0, 4, 3, 1, 2, 4)",0.9059666666666668
"(2, 4, 1, 2, 4, 4)",0.8950666666666666
"(0, 1, 0, 0, 3, 4)",0.8727333333333332
"(3, 2, 0, 2, 2, 2)",0.943
"(2, 2, 1, 1, 2, 2)",0.9214666666666667
"(0, 0, 4, 3, 1, 4)",0.8543666666666667
"(0, 3, 2, 1, 4, 0)",0.9146999999999998
"(3, 1, 4, 3, 2, 0)",0.9098
"(0, 3, 2, 1, 0, 3)",0.9240333333333333
"(0, 4, 3, 0, 4, 4)",0.7838666666666667
"(0, 1, 0, 3, 2, 4)",0.9202666666666666
"(3, 3, 4, 3, 0, 3)",0.9011
"(4, 1, 3, 3, 1, 3)",0.8983
"(3, 4, 4, 0, 2, 3)",0.9123
"(0, 3, 4, 0, 0, 3)",0.8773000000000001
"(0, 4, 4, 0, 3, 3)",0.8907
"(2, 0, 1, 3, 2, 0)",0.9363666666666667
"(2, 2, 2, 1, 4, 0)",0.9212666666666667
"(0, 0, 3, 2, 0, 0)",0.8820999999999999
"(3, 3, 2, 0, 1, 3)",0.9219666666666667
"(3, 2, 1, 4, 2, 0)",0.9248999999999999
"(3, 4, 4, 2, 0, 4)",0.8763666666666665
"(3, 1, 3, 2, 4, 2)",0.932
"(2, 1, 0, 4, 4, 4)",0.9079999999999999
"(2, 0, 3, 2, 3, 0)",0.9368666666666666
"(0, 0, 1, 3, 4, 0)",0.8733
"(4, 1, 2, 4, 1, 0)",0.9045333333333333
"(2, 3, 4, 2, 2, 4)",0.9232666666666666
"(0, 1, 1, 4, 0, 4)",0.7955
"(3, 4, 3, 4, 3, 0)",0.8994
"(4, 4, 1, 3, 4, 2)",0.8365
"(0, 1, 2, 0, 3, 0)",0.9205666666666668
"(4, 3, 3, 4, 4, 0)",0.8456333333333333
"(2, 3, 2, 1, 0, 0)",0.9227999999999998
"(2, 2, 3, 1, 4, 2)",0.9357333333333334
"(0, 4, 2, 4, 0, 3)",0.9211666666666667
"(2, 0, 3, 1, 0, 0)",0.9200333333333333
"(4, 3, 0, 2, 1, 2)",0.9324666666666667
"(4, 3, 3, 0, 1, 3)",0.9006666666666666
"(4, 4, 2, 2, 2, 2)",0.9213666666666667
"(0, 2, 0, 4, 2, 2)",0.9318333333333334
"(2, 2, 2, 1, 2, 2)",0.9367333333333333
"(0, 2, 0, 2, 4, 3)",0.9023333333333334
"(0, 4, 3, 0, 2, 3)",0.9208666666666666
"(3, 0, 3, 0, 4, 3)",0.9019333333333333
"(0, 2, 0, 2, 4, 4)",0.8675333333333333
"(3, 3, 0, 1, 4, 4)",0.9003333333333334
"(2, 4, 4, 4, 1, 0)",0.8608666666666666
"(2, 2, 4, 3, 0, 2)",0.9306
"(0, 1, 3, 3, 0, 4)",0.9017333333333333
"(0, 4, 3, 1, 3, 4)",0.8854666666666666
"(0, 4, 0, 3, 4, 0)",0.7784333333333332
"(3, 1, 2, 1, 3, 1)",0.9212333333333333
"(2, 3, 3, 1, 2, 3)",0.9324333333333334
"(4, 3, 2, 3, 4, 3)",0.9118999999999999
"(4, 0, 4, 3, 4, 2)",0.8708
"(2, 0, 4, 0, 0, 4)",0.8708
"(4, 0, 4, 4, 0, 4)",0.5112666666666666
"(2, 1, 4, 3, 2, 3)",0.9270333333333334
"(0, 0, 1, 2, 4, 4)",0.8644333333333334
"(4, 1, 2, 0, 1, 0)",0.9093000000000001
"(4, 2, 4, 3, 2, 3)",0.9179
"(4, 1, 0, 3, 0, 0)",0.8583
"(2, 0, 2, 2, 3, 4)",0.9253666666666668
"(0, 3, 1, 4, 3, 0)",0.8875666666666666
"(2, 3, 0, 3, 3, 2)",0.9412666666666667
"(4, 2, 4, 1, 3, 4)",0.8868333333333334
"(3, 4, 2, 0, 2, 2)",0.9275666666666667
"(3, 1, 1, 1, 3, 1)",0.8664999999999999
"(4, 1, 0, 2, 0, 2)",0.8708
"(1, 4, 0, 1, 1, 3)",0.8860666666666668
"(3, 4, 0, 1, 3, 4)",0.8748
"(3, 2, 3, 3, 0, 4)",0.9167000000000001
"(0, 3, 3, 0, 1, 3)",0.8929333333333334
"(4, 1, 0, 0, 2, 4)",0.8565666666666668
"(4, 3, 1, 2, 1, 2)",0.9141666666666667
"(1, 1, 0, 1, 1, 1)",0.8645333333333334
"(3, 4, 1, 0, 1, 3)",0.8885333333333334
"(0, 4, 0, 3, 0, 2)",0.8837333333333334
"(2, 1, 0, 2, 4, 0)",0.9342999999999999
"(0, 1, 3, 2, 4, 4)",0.9026666666666666
"(2, 0, 4, 4, 4, 2)",0.9108666666666666
"(2, 0, 1, 0, 2, 4)",0.9217666666666666
"(0, 3, 2, 0, 1, 0)",0.9211333333333332
"(4, 0, 1, 1, 2, 0)",0.8996999999999998
"(2, 3, 4, 4, 3, 0)",0.9208
"(0, 1, 0, 1, 4, 1)",0.8017
"(2, 0, 3, 2, 2, 4)",0.9277999999999998
"(2, 2, 3, 1, 2, 3)",0.9358333333333333
"(2, 0, 3, 1, 0, 2)",0.9235000000000001
"(0, 3, 2, 1, 0, 0)",0.9211333333333335
"(2, 4, 4, 3, 0, 2)",0.9147333333333332
"(0, 0, 4, 3, 0, 4)",0.7905666666666668
"(3, 3, 4, 0, 1, 2)",0.9118666666666667
"(3, 2, 4, 0, 3, 2)",0.9273333333333333
"(0, 1, 2, 4, 1, 3)",0.9190333333333335
"(0, 2, 2, 0, 0, 3)",0.9304000000000001
"(4, 0, 1, 3, 1, 4)",0.8164
"(4, 4, 2, 0, 0, 2)",0.9126666666666666
"(3, 4, 0, 1, 0, 2)",0.9112333333333333
"(1, 2, 0, 1, 1, 3)",0.9303000000000001
"(0, 2, 4, 0, 2, 4)",0.8729
"(2, 2, 2, 3, 1, 0)",0.9299
"(3, 0, 0, 1, 0, 0)",0.8732
"(2, 4, 2, 0, 1, 2)",0.9279000000000001
"(2, 3, 0, 4, 1, 3)",0.9255333333333333
"(3, 4, 1, 4, 1, 0)",0.8693333333333334
"(4, 3, 4, 2, 4, 0)",0.8686666666666666
"(0, 0, 1, 4, 1, 4)",0.6996333333333332
"(0, 4, 1, 3, 2, 2)",0.9253666666666668
"(2, 1, 4, 4, 2, 3)",0.9227666666666668
"(0, 0, 4, 4, 0, 4)",0.5279666666666667
"(4, 0, 1, 1, 0, 0)",0.7979333333333334
"(0, 3, 2, 3, 2, 4)",0.9201333333333334
"(2, 3, 2, 0, 3, 4)",0.9280333333333333
"(2, 0, 0, 2, 3, 3)",0.9361
"(4, 2, 4, 3, 0, 4)",0.8611666666666667
"(3, 2, 4, 0, 1, 3)",0.9192
"(0, 4, 1, 3, 4, 4)",0.8446666666666666
"(4, 4, 0, 4, 0, 2)",0.8664000000000001
"(2, 0, 1, 1, 3, 2)",0.9304666666666667
"(3, 3, 1, 3, 1, 0)",0.8924666666666667
"(0, 4, 1, 1, 3, 3)",0.8987333333333334
"(3, 4, 4, 1, 2, 0)",0.8891666666666667
"(2, 3, 0, 0, 4, 3)",0.9288333333333333
"(2, 2, 4, 4, 1, 4)",0.8858666666666666
"(0, 0, 4, 4, 0, 3)",0.8594666666666666
"(2, 4, 2, 2, 1, 3)",0.9297666666666667
"(4, 1, 4, 2, 1, 4)",0.8327666666666665
"(4, 4, 3, 2, 2, 3)",0.9156666666666666
"(3, 2, 0, 2, 4, 2)",0.9388
"(4, 4, 1, 3, 1, 2)",0.8523999999999999
"(3, 4, 1, 0, 2, 3)",0.9119333333333333
"(3, 2, 2, 4, 2, 4)",0.9241666666666667
"(4, 2, 4, 0, 1, 4)",0.8552666666666668
"(3, 0, 2, 2, 3, 2)",0.9320333333333334
"(4, 1, 1, 3, 1, 2)",0.8395666666666667
"(3, 2, 2, 2, 1, 0)",0.9263333333333332
"(0, 2, 3, 0, 2, 4)",0.9106666666666666
"(0, 2, 1, 4, 4, 2)",0.9137666666666666
"(0, 2, 0, 0, 3, 3)",0.9246666666666665
"(0, 4, 2, 2, 4, 0)",0.8739333333333333
"(2, 4, 0, 4, 0, 2)",0.9264666666666667
"(4, 3, 4, 0, 2, 2)",0.9032666666666667
"(0, 1, 4, 3, 4, 2)",0.8884666666666665
"(3, 0, 0, 0, 2, 0)",0.9011000000000001
"(3, 3, 4, 1, 4, 2)",0.9101666666666667
"(3, 2, 2, 2, 4, 3)",0.9308333333333333
"(4, 4, 4, 4, 4, 0)",0.5039
"(4, 3, 0, 1, 0, 3)",0.8818
"(2, 0, 2, 4, 3, 2)",0.9328
"(4, 3, 1, 0, 4, 4)",0.835
"(3, 3, 3, 4, 1, 0)",0.8983500000000001
"(4, 0, 1, 4, 1, 0)",0.7962
"(2, 4, 2, 0, 4, 2)",0.9222
"(3, 0, 1, 1, 4, 2)",0.9167000000000001
"(2, 3, 1, 4, 3, 3)",0.9194999999999999
