,net
0,"(2, 3, 2, 3, 2, 3)"
1,"(3, 1, 1, 2, 1, 2)"
6,"(2, 1, 1, 3, 2, 3)"
7,"(3, 1, 2, 3, 2, 3)"
8,"(1, 3, 2, 2, 3, 1)"
9,"(3, 0, 1, 0, 3, 3)"
12,"(3, 1, 1, 2, 2, 3)"
17,"(2, 1, 0, 2, 3, 3)"
19,"(3, 3, 2, 0, 3, 3)"
20,"(3, 3, 1, 0, 3, 2)"
26,"(3, 3, 0, 0, 2, 3)"
27,"(1, 2, 3, 2, 1, 3)"
45,"(2, 1, 3, 1, 2, 2)"
47,"(3, 0, 1, 2, 0, 3)"
48,"(2, 1, 2, 1, 2, 1)"
53,"(2, 3, 0, 0, 2, 1)"
56,"(2, 1, 3, 1, 3, 3)"
57,"(3, 3, 2, 2, 0, 3)"
59,"(3, 2, 1, 1, 2, 3)"
60,"(2, 3, 1, 0, 3, 3)"
62,"(2, 3, 0, 0, 3, 2)"
65,"(2, 2, 1, 2, 3, 3)"
70,"(1, 2, 1, 1, 1, 1)"
73,"(2, 2, 3, 3, 2, 2)"
74,"(1, 1, 3, 3, 3, 2)"
75,"(1, 1, 1, 3, 2, 3)"
78,"(3, 1, 0, 0, 3, 1)"
82,"(3, 3, 3, 1, 3, 3)"
84,"(0, 2, 0, 2, 0, 3)"
85,"(2, 0, 2, 2, 1, 2)"
88,"(3, 1, 0, 3, 2, 3)"
93,"(2, 1, 3, 3, 0, 3)"
95,"(1, 0, 3, 3, 1, 3)"
100,"(2, 3, 2, 2, 1, 2)"
106,"(2, 3, 3, 2, 2, 3)"
109,"(2, 3, 1, 2, 0, 2)"
110,"(3, 1, 2, 2, 1, 2)"
113,"(2, 1, 1, 2, 2, 2)"
115,"(2, 1, 0, 1, 2, 2)"
116,"(1, 2, 1, 2, 2, 3)"
120,"(3, 1, 1, 1, 2, 2)"
124,"(3, 1, 2, 2, 2, 3)"
127,"(3, 3, 3, 3, 0, 3)"
129,"(2, 1, 0, 1, 3, 3)"
131,"(2, 1, 1, 2, 3, 2)"
141,"(3, 0, 1, 2, 3, 3)"
143,"(3, 3, 1, 2, 2, 2)"
153,"(2, 1, 3, 0, 2, 1)"
160,"(3, 3, 0, 2, 2, 3)"
161,"(2, 1, 3, 0, 3, 2)"
162,"(2, 1, 2, 3, 1, 2)"
169,"(3, 0, 3, 0, 3, 3)"
170,"(3, 3, 2, 1, 0, 2)"
172,"(3, 2, 1, 0, 2, 1)"
173,"(3, 1, 3, 3, 1, 1)"
175,"(2, 3, 0, 2, 1, 1)"
177,"(2, 3, 3, 1, 0, 2)"
178,"(3, 2, 3, 1, 3, 2)"
184,"(2, 1, 2, 3, 2, 2)"
187,"(2, 3, 2, 2, 3, 1)"
189,"(2, 1, 3, 3, 3, 3)"
192,"(0, 2, 0, 1, 0, 2)"
197,"(3, 1, 0, 2, 2, 2)"
200,"(2, 0, 1, 0, 3, 3)"
201,"(1, 0, 3, 2, 1, 2)"
202,"(3, 3, 3, 3, 2, 3)"
207,"(1, 3, 3, 3, 3, 1)"
212,"(3, 2, 3, 3, 0, 2)"
216,"(2, 2, 2, 2, 2, 2)"
